RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,4,55,2,3,16,1,1,26,69.3,0,0,10,9,41.8,28.7,53,DK,2
1,3,70,2,4,16,1,6,23,60.3,3,3,16,16,61.4,86.9,52,C,1
1,3,70,1,1,15,1,7,23,65.1,1,1,10,12,26.5,39.7,59,DK,1
3,3,51,2,4,18,5,7,21,84.2,3,4,16,18,84.2,65.3,64,T,2
2,2,32,2,1,15,1,0,19,20.1,1,1,12,12,28.7,38.8,30,C,1
1,2,89,1,3,16,2,7,24,89.1,0,0,4,6,29.9,25.1,62,T,2
2,3,44,2,3,16,5,3,20,23.3,1,1,12,12,23.3,50,25,C,1
1,4,50,2,4,20,3,5,26,39.9,4,3,18,16,62.9,71,46,C,1
1,3,35,2,3,17,5,8,18,84.2,3,4,16,17,80.9,77.4,64,T,2
1,3,30,2,3,16,1,6,22,77,1,2,12,14,21.6,62,55,T,2
3,3,38,1,1,16,1,0,25,71.8,1,1,12,12,84.2,39.1,55,C,1
1,3,84,1,1,14,1,0,18,38.2,1,0,12,11,18.8,37.2,32,T,2
1,3,66,1,4,17,1,7,24,56.8,4,4,17,17,80.9,84.5,44,DK,2
2,3,33,2,3,16,1,7,25,76.3,3,4,14,16,71.8,50,60,C,1
1,3,54,1,3,17,1,2,25,70.5,1,2,14,17,38.3,68,48,C,1
1,3,73,1,3,16,1,3,23,57.8,1,1,12,12,32.6,50.1,47,T,2
1,4,59,2,3,16,2,8,23,69.3,0,0,11,8,35.8,35.3,53,C,1
1,3,72,1,1,12,1,3,19,54.3,1,1,12,12,38.8,35.8,48,T,2
1,2,60,2,1,12,1,8,20,38.8,2,1,14,16,76.3,84.5,47,T,2
1,3,63,1,1,12,1,4,23,28.4,1,1,12,12,31.6,14,38,T,2
1,3,57,1,4,18,1,4,23,73.9,1,4,13,20,69.4,85.8,53,T,2
1,3,59,2,1,14,1,4,26,41.4,1,1,14,14,28.6,35.4,60,T,2
1,3,61,1,3,18,1,7,26,64.2,1,1,12,12,26.5,62,53,T,2
1,3,71,1,3,16,1,7,26,66.4,1,1,14,12,46.6,76.3,66,T,1
2,3,47,1,3,16,5,4,22,66.4,2,3,14,16,52.6,65.3,66,C,1
1,3,53,2,3,16,1,7,25,73.9,1,1,12,12,31.9,39.7,53,T,2
1,3,41,2,3,17,1,7,20,84.2,3,3,16,20,84.2,92.8,64,DK,1
1,3,62,2,2,14,1,2,20,21.6,0,0,9,10,19.6,48.3,28,T,2
1,3,71,1,3,16,1,7,26,71.8,3,3,16,16,24.2,76.3,64,T,2
1,3,66,1,3,17,1,2,24,76.3,1,3,12,16,67.7,59.1,60,C,1
